step,time_h,TS,TR,TB,TG,SH,LH,G,RN,TC,UST,ALB,LW
66,  1.10000000000000009E+000,  2.85952069482683271E+002,  2.85256853949964011E+002,  2.87250444125757951E+002,  2.86543836501079397E+002,  2.71181440042850097E+000,  0.00000000000000000E+000,  6.18176608671279624E+001, -5.91053442465969781E+001,  2.86567456435170186E+002,  2.68619130250711935E-001,  0.00000000000000000E+000,  3.79105344246596985E+002
67,  1.11666666666666670E+000,  2.85935884652512698E+002,  2.85236518656739236E+002,  2.87234397601248872E+002,  2.86526538009116280E+002,  2.66669535135439917E+000,  0.00000000000000000E+000,  6.16804432608628943E+001, -5.90132540207368379E+001,  2.86552339770206345E+002,  2.68437178326268289E-001,  0.00000000000000000E+000,  3.79013254020736838E+002
68,  1.13333333333333330E+000,  2.85919852882689213E+002,  2.85216397665425234E+002,  2.87218474470660169E+002,  2.86509337264950432E+002,  2.62220835386458351E+000,  0.00000000000000000E+000,  6.15446768173390311E+001, -5.89219827910760898E+001,  2.86537331822324177E+002,  2.68256933936571962E-001,  0.00000000000000000E+000,  3.78921982791076061E+002
69,  1.14999999999999991E+000,  2.85903972049634660E+002,  2.85196486931201491E+002,  2.87202672751621549E+002,  2.86492233669237294E+002,  2.57832497817293627E+000,  0.00000000000000000E+000,  6.14103195597196247E+001, -5.88315170157567593E+001,  2.86522431725693707E+002,  2.68078321133837727E-001,  0.00000000000000000E+000,  3.78831517015756731E+002
70,  1.16666666666666674E+000,  2.85888240109948242E+002,  2.85176782526912234E+002,  2.87186990520637949E+002,  2.86475226633603086E+002,  2.53501778409758582E+000,  0.00000000000000000E+000,  6.12773308892456541E+001, -5.87418435412130506E+001,  2.86507638639750951E+002,  2.67901265312546322E-001,  0.00000000000000000E+000,  3.78741843541213029E+002
71,  1.18333333333333335E+000,  2.85872655097142058E+002,  2.85157280638832844E+002,  2.87171425911025779E+002,  2.86458315580305850E+002,  2.49226028176454717E+000,  0.00000000000000000E+000,  6.11456715320228597E+001, -5.86529495882618903E+001,  2.86492951748297628E+002,  2.67725693187130742E-001,  0.00000000000000000E+000,  3.78652949588261890E+002
72,  1.19999999999999996E+000,  2.85857215118526483E+002,  2.85137977562601009E+002,  2.87155977110929541E+002,  2.86441499941910763E+002,  2.45002689411731023E+000,  0.00000000000000000E+000,  6.10153034881533145E+001, -5.85648227387410785E+001,  2.86478370258635778E+002,  2.67551532768274425E-001,  0.00000000000000000E+000,  3.78564822738741100E+002
73,  1.21666666666666656E+000,  2.85841918352239531E+002,  2.85118869699304923E+002,  2.87140642361414848E+002,  2.86424779160976755E+002,  2.40829292116284277E+000,  0.00000000000000000E+000,  6.08861899831468065E+001, -5.84774509226656320E+001,  2.86463893400734833E+002,  2.67378713338171370E-001,  0.00000000000000000E+000,  3.78477450922665639E+002
74,  1.23333333333333339E+000,  2.85826763044413781E+002,  2.85099953551721285E+002,  2.87125419954635390E+002,  2.86408152689755582E+002,  2.36703450586870368E+000,  0.00000000000000000E+000,  6.07582954214613693E+001, -5.83908224058884002E+001,  2.86449520426431263E+002,  2.67207165424856896E-001,  0.00000000000000000E+000,  3.78390822405888400E+002
75,  1.25000000000000000E+000,  2.85811747506472784E+002,  2.85081225720697830E+002,  2.87110308232069713E+002,  2.86391619989901471E+002,  2.32622860163297673E+000,  0.00000000000000000E+000,  6.06315853421032074E+001, -5.83049257782335957E+001,  2.86435250608656361E+002,  2.67036820775895078E-001,  0.00000000000000000E+000,  3.78304925778233610E+002
